latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.71342,-54.20318,310.32,1.12,1.05,2026-06-15,0024,T,80,6.1NRT,294.06,10.42,N
-11.0147,-44.67667,303,2.87,1.62,2026-06-15,0024,T,53,6.1NRT,291.38,23.15,N
-11.01909,-44.70221,318.79,2.86,1.61,2026-06-15,0024,T,97,6.1NRT,291.77,76.49,N
-11.02573,-44.6815,309.93,2.87,1.62,2026-06-15,0024,T,79,6.1NRT,291.61,44.32,N
-11.02991,-44.70705,309.69,2.86,1.61,2026-06-15,0024,T,78,6.1NRT,291.55,43.11,N
-11.72068,-54.48876,315.79,1.12,1.06,2026-06-15,0024,T,92,6.1NRT,294.76,15.68,N
-11.72201,-54.49887,304.12,1.13,1.06,2026-06-15,0024,T,59,6.1NRT,293.63,5.8,N
-10.37814,-47.0478,305.94,1.92,1.35,2026-06-15,0024,T,66,6.1NRT,293.67,14.92,N
-11.26412,-53.9594,306.83,1.06,1.03,2026-06-15,0024,T,69,6.1NRT,294.38,7.1,N
-11.31221,-54.46714,306.34,1.11,1.05,2026-06-15,0024,T,68,6.1NRT,294.93,6.69,N
-10.29214,-47.60664,310.73,1.75,1.3,2026-06-15,0024,T,81,6.1NRT,293.24,21.28,N
-10.83775,-53.72802,307.89,1.04,1.02,2026-06-15,0024,T,73,6.1NRT,294.5,7.14,N
-10.83899,-53.7373,308.34,1.04,1.02,2026-06-15,0024,T,74,6.1NRT,294.5,7.51,N
-10.80432,-54.17005,305.55,1.07,1.03,2026-06-15,0024,T,65,6.1NRT,294.66,6.24,N
-10.80558,-54.17962,308.48,1.07,1.03,2026-06-15,0024,T,75,6.1NRT,294.6,8.26,N
-10.76838,-54.10373,307.45,1.07,1.03,2026-06-15,0024,T,71,6.1NRT,294.88,7.37,N
-8.96503,-46.91676,315.76,2.09,1.41,2026-06-15,0024,T,92,6.1NRT,293.3,40,N
-8.9556,-46.93742,303.88,2.08,1.4,2026-06-15,0024,T,57,6.1NRT,292.58,15.46,N
-9.26747,-50.65217,306.19,1.14,1.07,2026-06-15,0024,T,67,6.1NRT,294.21,7,N
-9.26892,-50.66232,345.55,1.14,1.06,2026-06-15,0024,T,100,6.1NRT,295.81,63.59,N
-8.88665,-48.50084,303.92,1.58,1.24,2026-06-15,0024,T,58,6.1NRT,293.8,9.16,N
-8.88882,-48.51493,308.18,1.58,1.24,2026-06-15,0024,T,74,6.1NRT,293.8,14.23,N
-8.88482,-48.50761,312.52,1.58,1.24,2026-06-15,0024,T,85,6.1NRT,294.09,19.51,N
-8.1919,-46.75922,322.18,2.22,1.44,2026-06-15,0026,T,100,6.1NRT,293.85,61.26,N
-7.63434,-50.04073,305.35,1.29,1.13,2026-06-15,0026,T,62,6.1NRT,294.63,6.42,N
-7.31955,-48.88224,328.08,1.57,1.24,2026-06-15,0026,T,100,6.1NRT,294.01,49.71,N
-6.57657,-51.09984,329.39,1.16,1.07,2026-06-15,0026,T,100,6.1NRT,295.9,33.04,N
-6.57802,-51.11013,310.29,1.16,1.07,2026-06-15,0026,T,79,6.1NRT,294.56,9.86,N
-6.12216,-48.49586,307.8,1.76,1.3,2026-06-15,0026,T,60,6.1NRT,294.63,13.07,N
-6.12474,-48.50222,306.92,1.76,1.3,2026-06-15,0026,T,11,6.1NRT,294.45,11.08,N
-3.51548,-48.0363,304.99,2.12,1.42,2026-06-15,0026,T,60,6.1NRT,294.65,13.03,N
-13.80928,-43.64625,305.32,3.05,1.66,2026-06-15,0024,T,64,6.1NRT,291.48,30.36,N
-13.81412,-43.67345,303.44,3.03,1.66,2026-06-15,0024,T,55,6.1NRT,291.35,24.59,N
-13.80847,-43.65314,309.76,3.05,1.66,2026-06-15,0024,T,78,6.1NRT,291.62,45.54,N
-14.91625,-56.75332,304.73,1.72,1.29,2026-06-15,0024,T,61,6.1NRT,291.39,10.57,N
-36.2118,-72.67094,327.67,1.04,1.02,2026-06-15,0156,T,100,6.1NRT,281.18,31.34,N
-10.15487,-56.60002,321.54,1.02,1.01,2026-06-15,0712,A,100,6.1NRT,294.6,19,N
-13.10947,-57.22993,301.39,1.02,1.01,2026-06-15,0712,A,41,6.1NRT,290.07,4.97,N
-6.57641,-51.10605,303.69,1.9,1.35,2026-06-15,0709,A,56,6.1NRT,292.91,12.41,N
-6.57885,-51.08913,303.35,1.91,1.35,2026-06-15,0709,A,55,6.1NRT,293.05,12.38,N
-6.57292,-51.0956,310.19,1.91,1.35,2026-06-15,0709,A,79,6.1NRT,293.6,23.95,N
-0.07758,-77.65155,306.55,1.14,1.06,2026-06-15,0848,A,68,6.1NRT,282.33,13.34,N
-6.78511,-39.18741,326.39,1.21,1.09,2026-06-15,1113,T,82,6.1NRT,295.87,28.54,D
-10.14511,-39.50138,308.62,1.15,1.07,2026-06-15,1113,T,63,6.1NRT,297.18,5.53,D
-14.71037,-42.02072,304.36,1.41,1.17,2026-06-15,1115,T,51,6.1NRT,293.34,6.13,D
-14.84553,-41.35254,304.46,1.27,1.12,2026-06-15,1115,T,55,6.1NRT,292.88,5.32,D
-14.84788,-41.34771,305.24,1.27,1.12,2026-06-15,1115,T,57,6.1NRT,292.89,6.14,D
-6.569,-51.11152,307.82,4.44,1.94,2026-06-15,1249,T,54,6.1NRT,293.45,37.11,D
-6.57728,-51.07823,307.79,4.47,1.94,2026-06-15,1249,T,49,6.1NRT,293.56,36.22,D
-10.15913,-56.60395,311.83,1.82,1.32,2026-06-15,1249,T,63,6.1NRT,297.23,17.55,D
-10.83899,-53.73365,311.84,3.16,1.68,2026-06-15,1249,T,31,6.1NRT,297.47,30.1,D
-10.57161,-57.32081,311.82,1.62,1.25,2026-06-15,1249,T,64,6.1NRT,296.14,15.02,D
-10.57348,-57.30651,310.13,1.63,1.26,2026-06-15,1249,T,60,6.1NRT,295.68,12.55,D
-10.71101,-56.24257,321.78,1.98,1.37,2026-06-15,1249,T,78,6.1NRT,296.41,43.65,D
-10.57438,-57.31305,316.29,1.63,1.26,2026-06-15,1249,T,72,6.1NRT,295.89,21.01,D
-10.7157,-56.24971,317.82,1.98,1.37,2026-06-15,1249,T,74,6.1NRT,295.81,33.92,D
-10.71779,-56.23226,309.93,1.98,1.37,2026-06-15,1249,T,60,6.1NRT,296.19,17.21,D
-11.78207,-54.24441,307.79,2.97,1.64,2026-06-15,1251,T,52,6.1NRT,296.89,26,D
-11.67189,-56.76416,306.89,1.86,1.33,2026-06-15,1251,T,48,6.1NRT,295.73,10.35,D
-11.79331,-57.00023,317.88,1.79,1.31,2026-06-15,1251,T,74,6.1NRT,296.51,29.63,D
-11.97983,-57.80664,307.92,1.57,1.23,2026-06-15,1251,T,33,6.1NRT,295.06,7.93,D
-12.55004,-57.16573,313.58,1.79,1.31,2026-06-15,1251,T,41,6.1NRT,295.76,18.19,D
-35.63608,-72.55975,315.38,1.41,1.17,2026-06-15,1259,T,76,6.1NRT,279.36,28.98,D
-0.27709,-79.45679,308.41,1.76,1.3,2026-06-15,1427,T,65,6.1NRT,293.28,9.61,D
-1.04347,-79.47419,310.74,1.81,1.32,2026-06-15,1427,T,54,6.1NRT,293.2,12.28,D
-13.28905,-40.33492,315.95,2.96,1.64,2026-06-15,1745,A,71,6.1NRT,296.94,45.96,D
-13.29209,-40.3604,312.52,2.97,1.64,2026-06-15,1745,A,66,6.1NRT,296.49,32.89,D
-11.42922,-40.7697,312.5,3,1.65,2026-06-15,1747,A,58,6.1NRT,296.8,38.26,D
-10.99516,-39.28881,314.28,2.24,1.45,2026-06-15,1747,A,62,6.1NRT,300.23,15.88,D
-11.00463,-39.27432,316.51,2.23,1.45,2026-06-15,1747,A,68,6.1NRT,301.06,21.96,D
-11.00723,-39.29398,313.91,2.24,1.45,2026-06-15,1747,A,63,6.1NRT,300.22,16.14,D
-16.40763,-39.46314,308.92,2.8,1.6,2026-06-15,1743,A,61,6.1NRT,293.6,21.12,D
-10.4428,-38.35003,313.66,1.85,1.33,2026-06-15,1747,A,43,6.1NRT,293.53,19.82,D
-16.40335,-39.4685,310.15,2.8,1.6,2026-06-15,1743,A,64,6.1NRT,293.76,25.56,D
-10.63536,-40.53572,310.77,2.79,1.6,2026-06-15,1747,A,46,6.1NRT,295.89,29.62,D
-15.87145,-40.10642,309.02,3.09,1.67,2026-06-15,1743,A,63,6.1NRT,295.07,20.86,D
-6.39745,-38.08062,317.77,1.53,1.22,2026-06-15,1747,A,74,6.1NRT,295.6,21.03,D
-6.03404,-35.97384,314.06,1.12,1.05,2026-06-15,1747,A,44,6.1NRT,298.83,11.2,D
-3.97104,-43.12852,309,3.53,1.77,2026-06-15,1749,A,31,6.1NRT,292.84,27.88,D
10.05453,-64.86797,319.89,1.22,1.1,2026-06-15,1930,A,80,6.1NRT,290.53,18.14,D
-7.36926,-49.85995,314.83,3.3,1.72,2026-06-15,1925,A,66,6.1NRT,296.89,43.29,D
-7.99059,-55.51163,314.4,1.21,1.09,2026-06-15,1925,A,53,6.1NRT,301.4,8.38,D
-6.5769,-51.10419,318.24,2.71,1.58,2026-06-15,1925,A,72,6.1NRT,298.55,46.59,D
-7.86486,-63.5143,309.61,1.85,1.33,2026-06-15,1925,A,56,6.1NRT,295.61,10.71,D
-7.86708,-63.53057,312.04,1.86,1.33,2026-06-15,1925,A,63,6.1NRT,296.1,15.39,D
-4.24079,-55.16101,314.16,1.44,1.19,2026-06-15,1928,A,59,6.1NRT,294.73,14.4,D
-3.12552,-58.999,327.22,1,1,2026-06-15,1928,A,71,6.1NRT,296.86,20.76,D
-34.0781,-58.68586,301.82,1.97,1.37,2026-06-15,1919,A,49,6.1NRT,284.04,18.66,D
-2.78493,-57.01008,310.21,1.16,1.07,2026-06-15,1928,A,55,6.1NRT,296.46,5.12,D
-34.08009,-58.70692,310.72,1.98,1.37,2026-06-15,1919,A,70,6.1NRT,284.4,34.05,D
-3.30515,-61.31075,314.09,1.13,1.06,2026-06-15,1928,A,68,6.1NRT,296.89,10.79,D
-32.84222,-54.22866,306.94,1.08,1.04,2026-06-15,1919,A,64,6.1NRT,284.19,11.09,D
-3.30658,-61.32059,311.85,1.13,1.06,2026-06-15,1928,A,54,6.1NRT,296.11,9.05,D
-32.83157,-54.21912,309.41,1.08,1.04,2026-06-15,1919,A,69,6.1NRT,282.58,13,D
-32.83306,-54.23042,340.57,1.08,1.04,2026-06-15,1919,A,92,6.1NRT,284.69,52.95,D
-31.28639,-55.20735,305.94,1.14,1.06,2026-06-15,1919,A,62,6.1NRT,283.85,11.46,D
-29.75185,-51.62722,308.46,1.04,1.02,2026-06-15,1919,A,67,6.1NRT,279.88,12.36,D
-28.68353,-56.48573,337.33,1.23,1.1,2026-06-15,1919,A,85,6.1NRT,272.73,55.74,D
-28.68504,-56.49801,360.41,1.23,1.1,2026-06-15,1919,A,94,6.1NRT,276.5,121.14,D
-28.48057,-56.75207,305.15,1.26,1.11,2026-06-15,1919,A,61,6.1NRT,282.39,12.02,D
-28.42602,-56.63358,302.25,1.24,1.11,2026-06-15,1919,A,51,6.1NRT,282.62,8.87,D
-27.9726,-56.51243,306.57,1.21,1.09,2026-06-15,1919,A,56,6.1NRT,286.45,10.27,D
-27.97411,-56.52444,322.93,1.21,1.09,2026-06-15,1919,A,82,6.1NRT,288.44,28.04,D
-27.96297,-56.51398,322.56,1.21,1.09,2026-06-15,1919,A,82,6.1NRT,285.51,26.99,D
-27.96447,-56.52598,339.55,1.21,1.09,2026-06-15,1919,A,92,6.1NRT,288.46,56.67,D
-26.57157,-57.46589,300.2,1.31,1.13,2026-06-15,1919,A,32,6.1NRT,280.03,7.71,D
-22.4094,-57.17931,308.21,1.13,1.06,2026-06-15,1921,A,67,6.1NRT,284.92,10.41,D
-16.9898,-53.20813,310.2,1.23,1.1,2026-06-15,1921,A,65,6.1NRT,293.27,9.55,D
-16.24805,-53.72094,312.71,1.18,1.08,2026-06-15,1921,A,66,6.1NRT,297.13,8.62,D
-16.23858,-53.72253,329.42,1.18,1.08,2026-06-15,1921,A,84,6.1NRT,297.54,29.62,D
-15.71618,-55.29895,305.43,1.04,1.02,2026-06-15,1921,A,51,6.1NRT,293.36,4.99,D
-14.75244,-52.67301,316.98,1.44,1.19,2026-06-15,1923,A,67,6.1NRT,300.14,14.17,D
-15.14968,-55.34237,323.52,1.04,1.02,2026-06-15,1923,A,81,6.1NRT,294.82,18.99,D
-15.07268,-55.81363,308.69,1.02,1.01,2026-06-15,1923,A,62,6.1NRT,294.6,5.37,D
-14.39284,-52.10982,310.71,1.6,1.25,2026-06-15,1923,A,55,6.1NRT,297.78,9.16,D
-14.00806,-51.40886,313.96,1.84,1.33,2026-06-15,1923,A,63,6.1NRT,297.5,15.17,D
-14.40826,-56.31431,315.45,1.01,1,2026-06-15,1923,A,72,6.1NRT,297.22,9.31,D
